LAUUNCHPAD,PRICE_TIME,TOKEN,SYMBOL,NAME,USD_PRICE,TVL
CREATOR_BID,2025-01-06 22:00:00.000,0x6e650a124a8ef97db770c82e5a9b74e55a4d01fc,BIMO,BIMO,0.0008069343647,20136.097120286
CREATOR_BID,2025-01-09 08:00:00.000,0x2972f737450ebb29434d4102caf0880c0e768292,PPAI,ProfitPilot,0.07150975551,188058.266882912
CREATOR_BID,2025-01-06 09:00:00.000,0x6f20b57ef76650c73f3cba62e1ce13c18a3a39c4,TITANDAO,TITAN,0.008452143401,65311.729883525
CREATOR_BID,2025-01-08 21:00:00.000,0x6263ad921e11ab47ae85f1daa725b8b3581baed3,LUIGI,Luigi,0.03979606558,145822.531141339
CREATOR_BID,2025-01-26 03:00:00.000,0x022888411dd5c04f2245b5117d18a51c521f30c5,MIRA,Mira Parsen,0.006261104395,55859.089817511
CREATOR_BID,2025-01-04 03:00:00.000,0x844dc21ebdec9a12beea209978117f0e439776a4,DOCS,DOCS,0.003246511951,40394.200609207
CREATOR_BID,2024-11-27 04:00:00.000,0xa604b11d42173b09ac3abe25795213408bb30c49,ANGEL,Angel AI,0.006775389108,58287.855032298
CREATOR_BID,2025-01-02 18:00:00.000,0x45b4b414adf2e9ccd572ee0f8da44d3bb339f624,AI6IX9INE,ai6ix9ine,0.005919940102,52629.795940129
CREATOR_BID,2025-01-04 23:00:00.000,0xc5f2773b43bfe08f9fa20ac1feb6034041b38c14,AIDROP,AIdrop Agent,0.002682626043,36391.930049837
CREATOR_BID,2025-01-26 07:00:00.000,0xd1d7aa941c71fd95e9d31bbd81937b3e71bd6231,ORCL,Oracle,0.01138993038,79055.05104054
CREATOR_BID,2024-12-17 22:00:00.000,0xeb476e9ab6b1655860b3f40100678d0c1cedb321,AMEN,Project Nostradamus,0.01543995301,101637.085124869
CREATOR_BID,2025-01-28 20:00:00.000,0xad6da69f50d6c0ad5d881bbf797256494d4b891f,AGENTPUDGY,Tama,0.002716157002,35688.145239018
CREATOR_BID,2025-01-03 10:00:00.000,0x1cf2e3a1fce2b653c8bc8829c22e32fae9ae8099,CIPHERAI,Agent Cipher,0.002057570174,31045.540639168
CREATOR_BID,2025-01-09 12:00:00.000,0x65449ce8eb0bc62bcbcd2752b275b2d9c5e5abb9,FRANKY,FRANKY,0.0005919340812,16218.963946963
CREATOR_BID,2024-11-17 04:00:00.000,0x92dc4ab92eb16e781559e612f349916988013d5a,WSB,Agent Zero,0.09695184706,228413.161070763
CREATOR_BID,2025-01-27 05:00:00.000,0x7a0ed2cf03422d0b9a4ecd8d46fe93b1158f22f5,MARIE,Marie Curie - DeSci Pioneer,0.001893145169,28898.615395979
CREATOR_BID,2025-01-02 05:00:00.000,0xa658574b3b2152c334204e53c8e970372c38c3e6,SHROOMI,Mushroom Intelligence,0.007946695584,59279.362907474
CREATOR_BID,2024-11-11 08:00:00.000,0xcad8bf0446bc786789767c5231229751a1d83f78,GTH,GTH 2.0,0.000507464152,14694.038605595
CREATOR_BID,2024-12-31 14:00:00.000,0xe4da9889db3d1987856e56da08ec7e9f484f6434,LAZY,King Kovu,0.01202746758,73833.691259514
CREATOR_BID,2025-01-14 02:00:00.000,0xeb476e9ab6b1655860b3f40100678d0c1cedb321,AMEN,Project Nostradamus,0.1778615491,303437.430150777