NAME,TOKEN_ADDRESS,SNAPSHOT_TIME,TRANSFER_COUNT,TRANSFER_AMOUNT,BUY_COUNT,BUY_AMOUNT,SELL_COUNT,SELL_AMOUNT,MINT_COUNT,MINT_AMOUNT,BURN_COUNT,BURN_AMOUNT,TOTAL_SUPPLY,HOLDER_COUNT,USD_PRICE,TVL
HyperWaifu,0xdaf40742384cff4721b259bddbf23b52a3715618,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,143,,
Quandale Dingle,0xcc72f306de93e08c9ed4e7aaa00c2e4f818bcc8d,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996322193.74459,206,,
Rei Lenfrost,0x49d6caa7ba72f6a816c9ee97c9c84dbe5f077e9d,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,52,,
Stella,0x9d407865d43d563bd67cd513d10d6f64610069dd,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,998265971.658828,67,,
Degen Capital,0x99298c6be0e8ec9e56b7a2be5850abe1fc109d94,2025-04-01 08:00:00.000,2,2041.111114776,0,0,1,2020.700003629,0,0,0,0,999309109.074558,101061,0.0005560978543,110306.904425007
CrashAI,0x27320dd7a35736c9ff19e14fd1bdc18be889cc54,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999920640.290905,35562,,
SisyphusAI,0x5770350aacf14ac444401cb23520c26cdcc818fc,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,997484031.20484,29567,,
Donaldo Tromp,0x3153b9eca71998b0366e9c2bec3c3138dc2ea009,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,987065677.942098,87,,
Tradescoop,0xf404bc113f4fc7c2447cb2556dcf5a56e29fa2dd,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,1098,,
Catarrini,0x36a1c2c49981c16464f5bdeb6b07a98307092216,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,530,,
Elvira,0x50135affdf7a114b1d24fe063b669d5f7ae6f3dc,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,998969976.02633,226,,
AI GOD,0xae9a2e6f5717f0075c42874b86e7e375c7e42257,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,994531064.86555,972,,
Liminal,0xb7b4e8406673528e7dc3d787f3a42eb1ebc01cf6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996612359.307487,33260,,
Michael De Santa,0x2cf29b1e910cc0d45d8151b84d4dfde1788cf30e,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,148,,
Benjamin On IP,0xa2312cf18d6469b4074e80477e21938de2e43380,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,254,,
$TRUST ME BROs,0xc841b4ead3f70be99472ffdb88e5c3c7af6a481a,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996782769.802514,82451,,
Wanderlust AI,0xe9f895469ac00c51789b3e9a67e97dfbcf837c52,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999976710.73703,695,,
Rocket XBT,0x88591b34d9f77a0f5a720de231795eb6a358aa21,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,21,,
CryptoNinja YUI,0x3e952bc11b367937115724f430e39693af67f798,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,993126423.248236,899,,
milady3333,0xada653b123a9fc050e0cadc5852b92846616eab9,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,31,,
Gojo Satoru,0x2db3db8ded35ccbfca14d87a5fc91babbcb0d4a7,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,79,,
Eve,0x3abf3f4932bb749005f54fc747b8d1bbe175f87d,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991657663.094758,133,,
Kuzu,0x2a05b03e52e16b534cfb5703cb03a7040016db37,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,46,,
4GENTIC,0x135fa55546758cf398da675a064f39d215ab1ff6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,988130234.589042,30510,,
VirtualAI Bot,0x41d4fd57f9754e13782e94c09305f8bb6e3a61a3,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,934114109.176647,286,,
Kogin,0x2941d526e22406c5d6f273e281899cfc042a7332,2025-04-01 08:00:00.000,4,38231.598927196,0,0,2,37849.282937924,0,0,0,0,999997962.101431,7752,0.0001096413172,44103.295827455
Ethan Turner,0x8902ded89a1056f42d4ef43039351de2f8dad048,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,361,,
KawAI,0x3251a8b58413d14c9d1f2dc19c499ab8e3a90ec8,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,978698215.691712,112,,
Kaizen Intern,0xe6b06b87e50276f7a8b325b1b9dfc878ffc9aaa2,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,79,,
Noah,0xf1858d63ecf2a4892625ff02d78f56759d273833,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,985184797.833681,141,,
Narwal,0xe8b08848a920eea18087a67fec72749142ca6067,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,987118170.136835,97,,
$BRAINS - your greed is my fuel 🤯🧠,0xf25b7dd973e30dcf219fbed7bd336b9ab5a05dd9,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999999632.95877,37408,,
Giga Terminal,0xe34181f1287e729e6c8887ca644c72324cb9017e,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,56,,
H4CK Terminal,0x625bb9bb04bdca51871ed6d07e2dd9034e914631,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,990394624.52119,94830,,
AnonCurator,0xf1a53aeccaa9dc0181c42a7593fce6191b616205,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999501636.926829,3123,,
0xRay,0xac532562e3b31151a933b11c8d4387cb1ec61c70,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,28,,
Falcon Stable,0xf24d4a893e189a3404e1285960c32d3939bb3b82,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,66,,
Omnis Genesis,0xb58f9704c7a80d2775222f7cb2eed28beb9a06be,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,995512593.894436,1586,,
Freedom mfer,0xc8f4049b733836317a0419bbac573b3959374ff8,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,994050608.94484,85,,
P4J33T,0xf4cd4c6e01202ba679c89b438f8a09f54905298b,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,18,,
Mentigent,0x3e2b9db0d9eb925ff9f67058109f0ba908906930,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,0,297,,
Macy,0x9ac435a658d89104f63d7d7f06181acfb2998373,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,31,,
Elon Musk,0x3b0430d8775858d37955c7ea976f42732ea3c240,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999986248.423468,25189,,
Alejandro Delgado,0xf4771c25884b52992a4c1e0a2a4cf53e75cadae1,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,998983580.183033,280,,
joi,0x2092d64a057e4ceb7387c67dad0fdf741559dd8f,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,48,,
Omnis,0x1920a86556b5118a6dba5b16ec29895b0f59989f,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,995963852.165885,116,,
Victorai,0x436b0fe70c84402a531fd0989ceecf5caa80244c,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,993,,
Eye Future,0x5537a24ad7e8d68aec165dcff6d2f8c23605417f,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,21960,,
Jennifer Riviera,0xf85cb59a4d0028a19f05148d3be2b003e403d4eb,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,30,,
AYA - The Crypto Oracle,0x838bf1b44640665a34035ce954e929c8fbff594a,2025-04-01 08:00:00.000,4,1341985.2498391,0,0,2,1328565.39734071,0,0,0,0,1000000000,25156,0.0002625279982,58271.759275567
SecretSocietySavior,0x13abab37e58950fb0be3362f8993b11bba1afe86,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996246544.180403,92,,
DTRXBT,0x84a9aae8fcc085dbe11524f570716d89b772f430,2025-04-01 08:00:00.000,3,226663.631005867,1,113901.322113501,0,0,0,0,0,0,1000000000,50889,0.001579012016,155318.703043845
BaseHoundBot,0xccdf2cbabfa37878125ab2d20bfcb9328b7ab3cf,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,1168,,
EchoLeaks,0x39fed555ff57cb1154bfa6b1a2492bb914ce2d9b,2025-04-01 08:00:00.000,1,16.61514989,0,0,0,0,0,0,0,0,997264119.348633,94920,,
sekoia,0x1185cb5122edad199bdbc0cbd7a0457e448f23c7,2025-04-01 08:00:00.000,9,127263.275909423,0,0,1,112887.399365811,0,0,0,0,986227199.657324,169976,0.002539333651,202668.660248084
Vitalik Hoffman,0xa89d4e8c30856d395aa147f375ec7bd133ee968d,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,966425713.255095,106,,
Harumi Sakuragi,0xaa76fbeb66908dc042481d7c2f7cda5b6a5f5c15,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,42,,
Bios,0xd72763ed12ac17296cf74a0938b5222c3db563f0,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,52,,
ai16z,0x2e8e23f4a45fedb89f99fde700926601a7ce90db,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,983259859.371245,274,,
ShaSha256,0xfac9dd2e1253d6d574e93a1670aaf86729d8cf63,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,997396043.446105,571,,
Oracle,0x22fc626c6c47a761695d7f163b6f8aa22e6f2a2a,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999516042.532858,40,,
The Sign,0xf1ce8c01bf5b7a52c46a33c34458942570ec14f1,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,995338951.24328,257,,
BuddhaJung,0x1db3def03b0fe4a602bf1acdf66916aa778b46a4,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,297,,
Agent Zeek,0x39d24405ca717ef841e4a782da97284cf2dc7628,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,998229574.154359,5529,,
Gigabrain,0xce1eab31756a48915b7e7bb79c589835aac6242d,2025-04-01 08:00:00.000,23,378473.67839545,1,58734.366620394,5,78770.428625575,0,0,0,0,1000000000,35122,0.003409935407,235704.561783964
Rizzler,0xb552bfd6c861277f54619251490aaa64d45e8def,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,51,,
Mist,0x24709befc8d7550f2023aad9fbcff58a97526a52,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,971628580.082288,917,,
Metropolis by Virtuals,0x73cde00aeb52ed16a74c6e9d9e22514999c91d80,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,23,,
Mark,0x46a9a5b51f23f6adab4d74db426aa4e11b09e6f0,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,27,,
"Eiki Shiki, Yamaxanadu",0x4ebd901fae2b8fc37c26441df6a968168a089858,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,43,,
Cody,0x23d952dfbe1eb4fe90f206dd6588076cb3d6be53,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,41,,
Puppet Master,0xc127dc63f96ade4b28bc5838910736d8ab68c645,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,994025951.680725,748,,
Vainguard,0xe709c929f04044310f30490ab42812270bf299b4,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999537722.113128,119,,
Alice the Bully,0x016da9f8b561b10e0e7c3155dfefaf8a812ffe8c,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,99,,
A.O.D,0x9699f839e8e2ac06e21eb0d4eff85ef047647751,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,992873807.117685,679,,
Mark Davis,0xa3a81a9f9c05cf094b9dfa99e9738c451f28cfd1,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999976167.575205,157,,
Misato,0x98f4779fccb177a6d856dd1dfd78cd15b7cd2af5,2025-04-01 08:00:00.000,4,6456.848989773,1,3244.647733555,0,0,0,0,0,0,998553604.990607,67426,0.0006137914814,93164.749700342
Stellaris,0xf24e6fdc85e2ad23884a47b908ef38befe48d01c,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,984444609.607324,85,,
azaelite,0x04e20ee22c6db2c5855d5f7b00690b8cdb83d3ee,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,2446,,
Baldashin,0x7e74e0e4d58b3b5ac68af071bbd411f554e0a516,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,334,,
papaya,0x19ec04bc440538974c801753fe41a47f30fc2ab0,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,22,,
Lucas,0x3377d5dd7ed8e8f21a675d2718eb3b434a6d1dcb,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,997365289.528541,38,,
0xMonk,0x06abb84958029468574b28b6e7792a770ccaa2f6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,20643,,
Coinye West,0x0028e1e60167b48a938b785aa5292917e7eaca8b,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,0,100578,,
Agent YieldDefi,0x812f21e579da8121723c4893b38966c56f7795dd,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,611,,
Bizonacci,0xb4f6e4455dce4557fd74055a4b4584c4b34968aa,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,967928839.559031,79,,
Aurra,0xdcaa5e062b2be18e52ea6ed7ba232538621ddc10,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,598,,
CV3,0x7f2c169e3243da4e03acd95a45fbaa96aaeb2803,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,1269,,
Nibibara,0x7c95c5ad385ffe4de45bc6b104ce23f550e12ed3,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,992808677.724547,843,,
AI Lora Phile,0x55b332574353530b1940fab1700f3d25b9fffaab,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,160,,
Javier Ramirez,0xd9349d0420f3bdacf2b8c093041599f0876f4f53,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,458,,
NA by virtuals,0xa2935744de0056231e52ca37a8744c2fb532ed5e,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991697038.495823,236,,
Mr. Data,0x223b9ca6269d24fbe5205692525dc706366005f5,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991134596.800183,98,,
NODERZZ,0x2acd6a246157bf51636d06a83200f8923e7eb864,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,29492,,
ELIZA,0x63c1352e1ba827ad57e85af8fb84d5f309311d7b,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,983730583.49676,280,,
Vinny,0xbc5f413a3f0a11090ae1082e28613da36ae24aa6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,34,,
John Wick,0x500de11927e0aeb3817288105241c1b3ac568242,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,977142390.126011,130,,
Ruby X,0xc58d1c74d38b9bfdefcba851b225894d7afce556,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996528150.123354,4583,,
jim,0xf66bb91d8b8e359333687ce415e6655e3f63f4df,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991450269.052136,166,,
Azara,0x3e1f498f9ad7c505e33bf9080cc93dcaf057d29f,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,30,,